Date,price,zone
8/1/2024 12:00:00 AM,45.54944,PGAE
8/1/2024 12:00:00 AM,45.42720,SCE
8/1/2024 12:00:00 AM,45.65872,SDGE
8/1/2024 12:00:00 AM,44.73662,VEA
8/1/2024 1:00:00 AM,46.92640,PGAE
8/1/2024 1:00:00 AM,46.91836,SCE
8/1/2024 1:00:00 AM,46.97933,SDGE
8/1/2024 1:00:00 AM,46.21022,VEA
8/1/2024 2:00:00 AM,43.95807,PGAE
8/1/2024 2:00:00 AM,43.89661,SCE
8/1/2024 2:00:00 AM,43.94051,SDGE
8/1/2024 2:00:00 AM,43.29078,VEA
8/1/2024 3:00:00 AM,43.47676,PGAE
8/1/2024 3:00:00 AM,43.10054,SCE
8/1/2024 3:00:00 AM,43.08757,SDGE
8/1/2024 3:00:00 AM,42.48649,VEA
8/1/2024 4:00:00 AM,43.88557,PGAE
8/1/2024 4:00:00 AM,43.71484,SCE
8/1/2024 4:00:00 AM,43.78051,SDGE
8/1/2024 4:00:00 AM,43.21142,VEA
8/1/2024 5:00:00 AM,44.67808,PGAE
8/1/2024 5:00:00 AM,44.61931,SCE
8/1/2024 5:00:00 AM,44.76659,SDGE
8/1/2024 5:00:00 AM,43.94543,VEA
8/1/2024 6:00:00 AM,50.24323,PGAE
8/1/2024 6:00:00 AM,50.09006,SCE
8/1/2024 6:00:00 AM,50.40605,SDGE
8/1/2024 6:00:00 AM,49.26338,VEA
8/1/2024 7:00:00 AM,43.03781,PGAE
8/1/2024 7:00:00 AM,42.34245,SCE
8/1/2024 7:00:00 AM,42.54319,SDGE
8/1/2024 7:00:00 AM,40.35393,VEA
8/1/2024 8:00:00 AM,40.44799,PGAE
8/1/2024 8:00:00 AM,39.25651,SCE
8/1/2024 8:00:00 AM,39.50598,SDGE
8/1/2024 8:00:00 AM,37.01324,VEA
8/1/2024 9:00:00 AM,38.01916,PGAE
8/1/2024 9:00:00 AM,35.73783,SCE
8/1/2024 9:00:00 AM,35.94466,SDGE
8/1/2024 9:00:00 AM,32.43046,VEA
8/1/2024 10:00:00 AM,39.10970,PGAE
8/1/2024 10:00:00 AM,38.66873,SCE
8/1/2024 10:00:00 AM,38.60855,SDGE
8/1/2024 10:00:00 AM,35.66000,VEA
8/1/2024 11:00:00 AM,40.89564,PGAE
8/1/2024 11:00:00 AM,40.75424,SCE
8/1/2024 11:00:00 AM,40.39812,SDGE
8/1/2024 11:00:00 AM,34.17000,VEA
8/1/2024 12:00:00 PM,41.31153,PGAE
8/1/2024 12:00:00 PM,42.62847,SCE
8/1/2024 12:00:00 PM,42.22758,SDGE
